Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39090430,"Vita Nostra (Vita Nostra, #1)",Marina Dyachenko,"Dyachenko, Marina","Sergey Dyachenko, Julia Meitov Hersey","=""""","=""""",0,4.02,Harper Voyager,Kindle Edition,417,2018,2007,,2019/05/13,to-read,to-read (#75),to-read,,,,0,0
1243377,The Terminal Beach,J.G. Ballard,"Ballard, J.G.",,"=""0140024999""","=""9780140024999""",0,3.90,Penguin Books,Mass Market Paperback,224,1966,1964,,2019/05/03,to-read,to-read (#74),to-read,,,,0,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",5,4.01,William Morrow,Hardcover,268,2006,2005,2014/02/28,2019/04/30,2014,2014 (#50),read,,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",4,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,2014/04/30,2019/04/30,2014,2014 (#49),read,,,,1,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",5,4.01,Time Warner Book Group,Paperback,301,2002,2000,2014/01/28,2019/04/30,2014,2014 (#48),read,,,,1,0
27539,On Intelligence,Jeff Hawkins,"Hawkins, Jeff",Sandra Blakeslee,"=""0805078533""","=""9780805078534""",0,4.11,St. Martin's Griffin,Paperback,261,2005,2004,,2019/04/30,to-read,to-read (#73),to-read,,,,0,0
2715,Salt: A World History,Mark Kurlansky,"Kurlansky, Mark",,"=""0142001619""","=""9780142001615""",0,3.75,Penguin Books,Paperback,484,2003,2002,,2019/04/30,to-read,to-read (#72),to-read,,,,0,0
36068769,How to Code a Human: Exploring the DNA Blueprints That Make Us Who We Are (Y),Kat Arney,"Arney, Kat",,"=""023300517X""","=""9780233005171""",0,4.07,Andre Deutsch,Hardcover,192,2018,,,2019/04/30,to-read,to-read (#71),to-read,,,,0,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.08,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,,2019/04/30,to-read,to-read (#70),to-read,,,,0,0
6346975,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Foer, Joshua",,"=""159420229X""","=""9781594202292""",0,3.88,"Penguin Press HC, The",Hardcover,307,2011,2011,,2019/04/30,to-read,to-read (#69),to-read,,,,0,0
